Membership: Membership Type,Industry,Position,Job Function,Person Account: Mailing Country,Age
Young Member,Educational Institution,Research Assistant,Scientist,Italy,29
Graduate Student,Student,Student,Student,South Korea,29
Young Member,,,,United Kingdom,29
Young Member,National Laboratory,Engineer,Mechanical Engineer,United States,29
Young Member,National Laboratory,Engineer,Mechanical Engineer,United States,29
Young Member,Engineering Firm,Engineer,Nuclear Engineer,United States,29
Young Member,National Laboratory,Engineer,Nuclear Engineer,United States,29
Young Member,National Laboratory,Engineer,Nuclear Engineer,United States,29
Young Member,National Laboratory,Other,Nuclear Engineer,United States,29
Recent Graduate,Educational Institution,Research Assistant,Nuclear Engineer,United States,29
Student,Student,Student,Student,United States,29
Graduate Student,Student,Student,Student,United States,29
Graduate Student,Student,Student,Student,United States,29
Recent Graduate,Student,Student,Student,United States,29
Student,Student,Student,Student,United States,29
Graduate Student,Student,Student,,United States,29
Recent Graduate,Educational Institution,Research Assistant,Scientist,Italy,30
Student,Student,Student,Student,South Korea,30
Young Member,Engineering Firm,Engineer,Nuclear Engineer,United Kingdom,30
Young Member,National Laboratory,Engineer,Mechanical Engineer,United States,30
Young Member,Engineering Firm,Engineer,Nuclear Engineer,United States,30
Young Member,Engineering Firm,Engineer,Nuclear Engineer,United States,30
Young Member,Engineering Firm,Engineer,Nuclear Engineer,United States,30
Young Member,National Laboratory,Engineer,Nuclear Engineer,United States,30
Young Member,National Laboratory,Engineer,Nuclear Engineer,United States,30
Young Member,National Laboratory,Engineer,Nuclear Engineer,United States,30
Young Member,National Laboratory,Engineer,Nuclear Engineer,United States,30
Young Member,Private Research/Test Lab,Engineer,Nuclear Engineer,United States,30
Young Member,Educational Institution,Research Assistant,Nuclear Engineer,United States,30
Young Member,National Laboratory,Research Assistant,Nuclear Engineer,United States,30
Graduate Student,Educational Institution,Research Assistant,Student,United States,30
Graduate Student,Educational Institution,Student,Student,United States,30
Student,Student,Student,Student,United States,30
Student,Student,Student,Student,United States,30
Graduate Student,Student,Student,Student,United States,30
Young Member,,,,United States,30
Young Member,Engineering Firm,Engineer,Chemical Engineer,Netherlands,31
Young Member,Engineering Firm,Engineer,Mechanical Engineer,United States,31
Young Member,Other,Chief/Senior Engineer,Nuclear Engineer,United States,31
Young Member,National Laboratory,Engineer,Nuclear Engineer,United States,31
Trustee,Utility,Engineer,Nuclear Engineer,United States,31
Young Member,National Laboratory,Project Manager,Nuclear Engineer,United States,31
Young Member,National Laboratory,Analyst,Scientist,United States,31
Young Member,National Laboratory,Other,Scientist,United States,31
Recent Graduate,Student,Student,Student,United States,31
Graduate Student,Student,Student,Student,United States,31
Recent Graduate,Student,Student,Student,United States,31
Young Member,,,,France,32
Student,Student,Student,Student,South Korea,32
Young Member,Engineering Firm,Analyst,Scientist,United Kingdom,32
Young Member,Educational Institution,Professor,Educator,United States,32
Young Member,National Laboratory,Analyst,Nuclear Engineer,United States,32
Young Member,Educational Institution,Engineer,Nuclear Engineer,United States,32
Young Member,National Laboratory,Engineer,Nuclear Engineer,United States,32
Young Member,National Laboratory,Engineer,Nuclear Engineer,United States,32
Young Member,National Laboratory,Engineer,Nuclear Engineer,United States,32
Young Member,National Laboratory,Engineer,Nuclear Engineer,United States,32
Young Member,National Laboratory,Engineer,Nuclear Engineer,United States,32
Young Member,Private Research/Test Lab,Engineer,Nuclear Engineer,United States,32
Young Member,National Laboratory,Research Assistant,Nuclear Engineer,United States,32
Young Member,National Laboratory,Other,Scientist,United States,32
Young Member,National Laboratory,Research Assistant,Scientist,United States,32
Young Member,National Laboratory,Research Assistant,Scientist,United States,32
Graduate Student,Student,Student,Student,United States,32
Young Member,,,,United States,32
Young Member,Educational Institution,Adjunct/Assistant Professor,Educator,United States,33
Young Member,Engineering Firm,Chief/Senior Engineer,Mechanical Engineer,United States,33
Young Member,National Laboratory,Analyst,Nuclear Engineer,United States,33
Young Member,National Laboratory,Analyst,Nuclear Engineer,United States,33
Young Member,Consulting Firm,Engineer,Nuclear Engineer,United States,33
Young Member,Educational Institution,Engineer,Nuclear Engineer,United States,33
